video_id,total_comments,pos_count,neg_count,neu_count,avg_sentiment_score,pos_pct,neg_pct,neu_pct,channel_id,video_title
6Zy5VLcEbZc,500,302,198,0,0.9465355800390244,0.604,0.396,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,"I Stranded 100 People In The Wilderness For $250,000"
B9LizOAAoLg,500,275,225,0,0.9321223381757736,0.55,0.45,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,I’m Granting Wishes For My Subscribers
EdT5Z16Y5WE,500,227,273,0,0.8658125355243683,0.454,0.546,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,"Would Your Dog Pick $10,000 or Steak?"
ScjQAcbA9e4,500,279,221,0,0.901507688164711,0.558,0.442,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Important Announcement From The Grocery Store
VEGq2Du_HCw,500,238,262,0,0.8860544196367264,0.476,0.524,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,"Subscribe for $10,000"
feu5PQvoCiA,500,250,250,0,0.9070539152622223,0.5,0.5,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Asking My Fiancée on a Date
hRBpDdWbUpI,500,194,306,0,0.8668594995737076,0.388,0.612,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Can My Fiancée Lift Me?
pzxtGL9kzPs,500,179,321,0,0.8850216010808944,0.358,0.642,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Try Not To Get Slimed
rqsRdfdN4uI,500,254,246,0,0.9082061864137649,0.508,0.492,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Guess The Animal
yy-Nt0dRhNI,500,217,283,0,0.8854000840187073,0.434,0.566,0.0,UCX6OQ3DkcsbYNE6H8uQQuVA,Winner Picks Our Honeymoon
